local_date,geometric_mean_daily_mean_nm,geometric_std_daily_mean_nm,geometric_mean_smallest_25pct_daily_mean_nm,geometric_mean_smallest_50pct_daily_mean_nm,geometric_mean_smallest_75pct_daily_mean_nm,geometric_std_smallest_25pct_daily_mean_nm,geometric_std_smallest_50pct_daily_mean_nm,geometric_std_smallest_75pct_daily_mean_nm
2023-01-18,55.945574976425966,2.1667874536447824,24.531194554434883,35.4779931306839,47.11335363166277,1.6997499979204602,1.8741874951455328,1.998539532617081
2023-01-19,41.778434094455505,2.250600694782204,17.783125016424393,22.051791701051926,32.509671321621646,1.5323194364706676,1.7253958351082272,2.040458334816827
2023-01-20,40.536519226712215,1.9234494789136827,32.3222917980618,35.00434046321445,37.58481409826944,1.716000007258521,1.8207430591185887,1.8743255825929863
2023-01-21,66.18582284450531,2.0161979157063694,58.095361179775665,61.63452781571282,63.636254681481255,1.8652083277702332,1.9168620685051228,1.9653410142467869
2023-01-22,79.82348950703938,2.041430557353629,60.946513917711044,63.39344448513455,71.17155544846146,1.7650694499413173,1.9060277831223276,1.9856405571309104
2023-01-23,68.75451394584444,2.1395972217950554,39.63422226905823,48.78215290440453,56.959416698526454,1.7828333311610751,1.9090486094355583,2.0185138941914946
2023-01-24,62.04028136200375,2.222579857127534,50.85061115688748,55.32199311256409,58.51298630679095,2.102479443158189,2.151337923674748,2.1868240662195064
2023-01-25,78.65247579415639,2.0345034727619753,52.33981959025065,56.12491668595208,67.83975468741522,1.823069441649649,1.877229166527589,1.9458156692267563
2023-01-26,48.03106258312861,2.089829867084821,37.061847448349,41.18366679880354,44.929657450428714,1.8898194465372298,1.9514375030994415,2.01472685624052
2023-01-27,42.92031351282206,2.0162682952781172,33.734152687920464,37.8643610742357,40.24558130308639,1.7649041038669953,1.8595972168776724,1.9454139515411022
2023-01-28,58.61239581637912,2.182819447169701,37.572652657826744,44.41056932343377,49.12087949117025,2.067250001761648,2.098750002682209,2.1323842654625573
2023-01-29,64.69925701618195,2.0714548635813923,39.63229152891371,49.99692357911004,55.65252786212497,1.917694456047482,1.9804861115084753,2.0251620378759174
2023-01-30,57.14997581640879,1.8891562504900827,43.08950010935465,47.04244457350837,51.81198164268776,1.667930555012491,1.742638888458411,1.81740277895221
2023-01-31,67.85488932520461,2.091352939605713,51.6711371434878,57.21844148307011,63.35922584006314,1.9927162157522667,2.024544214715763,2.059266969629003
2023-02-01,70.28715322408111,2.2198536620322837,60.064527458614776,64.34822212325201,67.13490691074105,2.0580833355585733,2.1161597255203457,2.1570790723312734
2023-02-02,66.9740973578559,2.1701458361413746,55.60013877020942,60.022152953677704,63.58860672844781,2.028555562098821,2.0961824365564294,2.1325509272239827
2023-02-03,61.55893027408613,2.2250383290679614,51.26801382170783,54.86555543210771,57.99664179779762,2.010138895776537,2.1047241375364107,2.1639767436094064
